"1","'2017-01-05T10:00:00+0000'","'送你百財圖！誰見誰發財68秒轉走必財富滿滿！'","'送你百財圖！誰見誰發財68秒轉走必財富滿滿！'","25"
"2","'2017-01-05T10:00:00+0000'","'Timeline Photos'","'在愛情裡
必須讓對方懂得
你們在一起是因為你選擇了他
而不是你需要他
只有這樣
對方才會把你視為平等的伴侶
沒有所謂應該如何如何
只有珍惜不珍惜'","466"
"3","'2017-01-05T08:00:00+0000'","'恭喜！明後兩年，貴人福運深厚的生肖'","'恭喜！明後兩年，貴人福運深厚的生肖'","64"
"4","'2017-01-05T07:00:00+0000'","'Timeline Photos'","''","738"
"5","'2017-01-05T06:00:00+0000'","'家中有這3大生肖，注定一世富貴，好運到老！'","'家中有這3大生肖，注定一世富貴，好運到老！'","110"
"6","'2017-01-05T04:00:00+0000'","'Timeline Photos'","'裝堅強是為了保護自己
說沒事是為了避免他人擔憂

多麼希望有人可以看穿我的脆弱
多麼希望有人可以懂得我的矛盾

很多心事說不出口 卻希望你能懂'","785"
"7","'2017-01-05T03:05:16+0000'","'Timeline Photos'","'誰來挑戰?
我
最
愛
經
典
語
錄'","94"
"8","'2017-01-05T02:01:40+0000'","'Timeline Photos'","'中肯
 ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ ♥ 
加入愛情治療室, 分享你的經典語錄
https://goo.gl/QF4GYs
加我LINE, 跟我LINE
http://line.me/ti/p/%40ypb5161h'","1160"
"9","'2017-01-04T16:06:38+0000'","'終於知道45歲的黎姿為什麼下嫁殘疾富豪了，看完後竟然有些心疼'","'如果愛是從心底出發，其實可以很美！'","212"
"10","'2017-01-04T15:00:01+0000'","'Timeline Photos'","'明明人在線，明明想說話，還要學隱身；
明明很難過，明明很想哭，還要裝微笑；
明明很孤單，明明很害怕，還要一個人；
明明想見面，明明很期待，還要去拒絕；
明明心很亂，明明想人陪，還要裝沉默；
明明捨不得，明明放不下，還要去放手；
明明在心裡，明明很在乎，還要無所謂...'","2766"
"11","'2017-01-04T14:00:00+0000'","'12星座女生最想得到的男人，準爆了！'","'12星座女生最想得到的男人，準爆了！'","364"
"12","'2017-01-04T13:00:00+0000'","'12星座如果這麼做，就是真的心死了....'","'12星座如果這麼做，就是真的心死了....'","405"
"13","'2017-01-04T12:00:00+0000'","'12星座走向成熟的標志！'","'12星座走向成熟的標志！'","240"
"14","'2017-01-04T10:00:00+0000'","'Timeline Photos'","'難怪我男朋友老是叫我閉嘴'","4535"
"15","'2017-01-04T10:00:00+0000'","'各路財神送財來！財神爺說：「誰把我接走，我就讓誰一路發！」我接了，你接了嗎？'","'各路財神送財來！財神爺說：「誰把我接走，我就讓誰一路發！」我接了，你接了嗎？'","70"
